sku_id,sku_name,category,is_perishable,avg_daily_demand,lead_time_days,std_dev_demand,current_stock,unit_cost_inr,unit_sp_inr,stockout_hours_last_30d
SKU-00070,Cookies 200g - Pack 10,Snacks,No,16,3,1.5,118,45.57,64.47,4
SKU-00071,Shampoo 180ml - Pack 11,Personal Care,No,14,4,1.7,64,90.89,128.56,2
SKU-00072,Soap 100g - Pack 12,Personal Care,No,22,4,2.8,139,28.68,37.82,11
SKU-00073,Toothpaste 100g - Pack 1,Personal Care,No,17,4,2.8,90,63.95,85.6,3
SKU-00074,Face Wash 100ml - Pack 2,Personal Care,No,9,6,2.2,45,122.39,144.2,1
SKU-00075,Hand Wash 250ml - Pack 3,Personal Care,No,7,5,2.2,35,76.26,99.09,21
SKU-00076,Milk 500ml - Pack 4,Dairy,Yes,36,2,2.2,121,28.38,43.22,6
SKU-00077,Curd 400g - Pack 5,Dairy,Yes,28,2,1.2,77,24.08,40.08,1
SKU-00078,Paneer 200g - Pack 6,Dairy,Yes,20,2,0.9,76,55.24,70.16,1
SKU-00079,Butter 100g - Pack 7,Dairy,Yes,10,2,1.1,41,43.59,67.82,4
SKU-00080,Cheese Slices 200g - Pack 8,Dairy,Yes,10,3,1.2,47,80.28,105.07,4
SKU-00081,Bread White 400g - Pack 9,Bakery,Yes,25,1,2.5,50,26.8,40.21,3
SKU-00082,Bread Brown 400g - Pack 10,Bakery,Yes,20,2,1.2,48,31.29,41.83,2
SKU-00083,Croissant 2pc - Pack 11,Bakery,Yes,11,2,1.7,15,53.27,76.84,1
SKU-00084,Muffin 2pc - Pack 12,Bakery,Yes,12,2,1.8,27,51.34,61.49,7
SKU-00085,Burger Buns 4pc - Pack 1,Bakery,Yes,13,1,2.1,38,33.9,52.62,2
SKU-00086,Cola 500ml - Pack 2,Beverages,No,28,1,6.1,204,30.85,40.42,4
SKU-00087,Orange Juice 1L - Pack 3,Beverages,No,19,4,2.8,105,73.36,99.72,6
SKU-00088,Mineral Water 1L - Pack 4,Beverages,No,31,1,5.9,217,12.25,19.46,2
SKU-00089,Energy Drink 250ml - Pack 5,Beverages,No,18,1,2.6,79,69.01,92.13,5
SKU-00090,Cold Coffee 250ml - Pack 6,Beverages,No,15,1,1.6,60,55.09,76.94,2
SKU-00091,Potato Chips 100g - Pack 7,Snacks,No,28,1,3.6,197,23.54,42.11,2
SKU-00092,Namkeen 200g - Pack 8,Snacks,No,27,2,2.9,157,45.33,73.32,4
SKU-00093,Biscuits 100g - Pack 9,Snacks,No,40,3,4.2,385,18.76,27.21,7
SKU-00094,Chocolate Bar 50g - Pack 10,Snacks,No,32,1,3.4,207,31.12,45.4,1
SKU-00095,Cookies 200g - Pack 11,Snacks,No,15,4,2.5,107,47.8,64.19,6
SKU-00096,Shampoo 180ml - Pack 12,Personal Care,No,12,3,2.3,54,93.68,125.18,4
SKU-00097,Soap 100g - Pack 1,Personal Care,No,24,3,2.7,153,28.37,39.04,11
SKU-00098,Toothpaste 100g - Pack 2,Personal Care,No,13,5,2.6,76,59.21,91.2,26
SKU-00099,Face Wash 100ml - Pack 3,Personal Care,No,7,4,2.6,32,105.53,138.59,3
SKU-00100,Hand Wash 250ml - Pack 4,Personal Care,No,10,4,2.0,53,72.96,108.5,14
SKU-00101,Milk 500ml - Pack 5,Dairy,Yes,29,2,2.2,77,29.4,45.47,4
SKU-00102,Curd 400g - Pack 6,Dairy,Yes,19,2,1.3,56,24.73,35.63,7
SKU-00103,Paneer 200g - Pack 7,Dairy,Yes,11,3,0.9,51,62.38,72.5,0
SKU-00104,Butter 100g - Pack 8,Dairy,Yes,8,3,1.1,34,52.72,64.72,2
SKU-00105,Cheese Slices 200g - Pack 9,Dairy,Yes,9,3,1.8,34,88.95,109.31,10
SKU-00106,Bread White 400g - Pack 10,Bakery,Yes,29,1,2.7,61,27.55,37.66,2
SKU-00107,Bread Brown 400g - Pack 11,Bakery,Yes,13,2,2.1,32,32.44,44.66,2
SKU-00108,Croissant 2pc - Pack 12,Bakery,Yes,10,1,0.9,17,52.09,73.53,2
SKU-00109,Muffin 2pc - Pack 1,Bakery,Yes,10,2,1.9,22,46.4,66.6,6
SKU-00110,Burger Buns 4pc - Pack 2,Bakery,Yes,11,2,2.4,37,38.62,48.43,4
SKU-00111,Cola 500ml - Pack 3,Beverages,No,34,3,5.4,271,30.18,40.22,8
SKU-00112,Orange Juice 1L - Pack 4,Beverages,No,17,3,2.9,91,81.97,94.42,1
SKU-00113,Mineral Water 1L - Pack 5,Beverages,No,48,1,6.4,365,13.81,18.34,3
SKU-00114,Energy Drink 250ml - Pack 6,Beverages,No,16,3,1.8,83,64.0,97.37,13
SKU-00115,Cold Coffee 250ml - Pack 7,Beverages,No,12,2,1.6,55,50.2,82.37,17
SKU-00116,Potato Chips 100g - Pack 8,Snacks,No,30,3,4.6,228,25.7,38.76,6
SKU-00117,Namkeen 200g - Pack 9,Snacks,No,18,2,2.5,101,45.17,62.46,3
SKU-00118,Biscuits 100g - Pack 10,Snacks,No,48,2,4.0,438,18.14,30.38,12
SKU-00119,Chocolate Bar 50g - Pack 11,Snacks,No,33,2,3.4,242,31.17,49.45,29
SKU-00120,Cookies 200g - Pack 12,Snacks,No,15,4,2.1,114,51.1,78.29,3
SKU-00121,Shampoo 180ml - Pack 1,Personal Care,No,13,4,1.8,58,82.92,132.49,3
SKU-00122,Soap 100g - Pack 2,Personal Care,No,37,3,2.3,247,27.29,42.26,3
SKU-00123,Toothpaste 100g - Pack 3,Personal Care,No,16,5,2.8,104,63.4,90.34,13
SKU-00124,Face Wash 100ml - Pack 4,Personal Care,No,6,4,1.4,27,94.92,146.33,7
SKU-00125,Hand Wash 250ml - Pack 5,Personal Care,No,14,5,2.1,59,71.83,104.25,2
SKU-00126,Milk 500ml - Pack 6,Dairy,Yes,34,3,2.3,112,26.8,43.03,9
SKU-00127,Curd 400g - Pack 7,Dairy,Yes,20,2,1.5,59,24.11,35.56,9
SKU-00128,Paneer 200g - Pack 8,Dairy,Yes,15,4,1.7,51,53.85,73.79,18
SKU-00129,Butter 100g - Pack 9,Dairy,Yes,12,3,1.1,50,51.78,67.87,8
SKU-00130,Cheese Slices 200g - Pack 10,Dairy,Yes,9,4,1.5,34,70.41,109.81,6
SKU-00131,Bread White 400g - Pack 11,Bakery,Yes,39,1,2.8,72,29.03,37.89,2
SKU-00132,Bread Brown 400g - Pack 12,Bakery,Yes,22,2,1.9,56,32.7,50.41,4
SKU-00133,Croissant 2pc - Pack 1,Bakery,Yes,11,2,1.7,15,60.39,70.7,22
SKU-00134,Muffin 2pc - Pack 2,Bakery,Yes,10,1,1.8,22,47.06,68.98,8
SKU-00135,Burger Buns 4pc - Pack 3,Bakery,Yes,14,2,1.4,38,32.18,52.91,12
SKU-00136,Cola 500ml - Pack 4,Beverages,No,49,4,5.7,355,30.97,40.08,4
SKU-00137,Orange Juice 1L - Pack 5,Beverages,No,19,4,3.0,105,75.4,94.09,4
SKU-00138,Mineral Water 1L - Pack 6,Beverages,No,32,2,6.7,239,12.06,20.92,4
SKU-00139,Energy Drink 250ml - Pack 7,Beverages,No,13,3,2.5,59,63.18,88.08,6
SKU-00140,Cold Coffee 250ml - Pack 8,Beverages,No,18,4,2.3,77,53.42,76.19,4
SKU-00141,Potato Chips 100g - Pack 9,Snacks,No,29,2,4.5,211,23.77,39.7,3
SKU-00142,Namkeen 200g - Pack 10,Snacks,No,22,4,2.8,136,48.13,63.5,1
SKU-00143,Biscuits 100g - Pack 11,Snacks,No,28,2,5.1,243,18.47,29.25,7
SKU-00144,Chocolate Bar 50g - Pack 12,Snacks,No,30,2,3.3,194,31.97,42.05,5
SKU-00145,Cookies 200g - Pack 1,Snacks,No,15,2,2.4,98,49.92,64.58,2
SKU-00146,Shampoo 180ml - Pack 2,Personal Care,No,16,4,2.4,76,88.52,120.32,8
SKU-00147,Soap 100g - Pack 3,Personal Care,No,17,2,3.2,101,30.08,39.57,3
SKU-00148,Toothpaste 100g - Pack 4,Personal Care,No,17,5,2.8,92,59.0,83.25,0
SKU-00149,Face Wash 100ml - Pack 5,Personal Care,No,7,5,1.9,32,113.45,138.33,23
SKU-00150,Hand Wash 250ml - Pack 6,Personal Care,No,13,4,1.7,64,80.46,105.74,20
SKU-00151,Milk 500ml - Pack 7,Dairy,Yes,37,2,2.0,128,29.61,43.23,1
SKU-00152,Curd 400g - Pack 8,Dairy,Yes,15,2,1.2,31,24.56,42.74,4
SKU-00153,Paneer 200g - Pack 9,Dairy,Yes,18,3,1.4,69,54.04,76.0,6
SKU-00154,Butter 100g - Pack 10,Dairy,Yes,10,2,1.4,39,52.09,67.97,10
SKU-00155,Cheese Slices 200g - Pack 11,Dairy,Yes,10,3,1.7,43,82.68,105.05,1
SKU-00156,Bread White 400g - Pack 12,Bakery,Yes,25,1,2.5,60,27.88,40.97,5
SKU-00157,Bread Brown 400g - Pack 1,Bakery,Yes,10,1,2.0,30,34.34,44.52,13
SKU-00158,Croissant 2pc - Pack 2,Bakery,Yes,9,1,1.3,15,53.72,75.64,5
SKU-00159,Muffin 2pc - Pack 3,Bakery,Yes,11,2,1.3,17,50.69,60.56,4
SKU-00160,Burger Buns 4pc - Pack 4,Bakery,Yes,13,3,1.6,27,33.85,50.98,1
SKU-00161,Cola 500ml - Pack 5,Beverages,No,39,2,5.3,314,26.37,42.39,4
SKU-00162,Orange Juice 1L - Pack 6,Beverages,No,17,2,2.7,104,68.83,91.93,13
SKU-00163,Mineral Water 1L - Pack 7,Beverages,No,43,1,6.7,292,13.31,20.68,3
SKU-00164,Energy Drink 250ml - Pack 8,Beverages,No,24,2,2.7,123,70.08,97.03,4
SKU-00165,Cold Coffee 250ml - Pack 9,Beverages,No,11,3,2.0,45,55.61,69.95,2
SKU-00166,Potato Chips 100g - Pack 10,Snacks,No,26,2,4.6,202,26.49,38.49,1
SKU-00167,Namkeen 200g - Pack 11,Snacks,No,23,3,2.9,142,50.85,62.91,9
SKU-00168,Biscuits 100g - Pack 12,Snacks,No,51,2,4.8,478,17.61,26.83,2
SKU-00169,Chocolate Bar 50g - Pack 1,Snacks,No,17,2,3.4,112,31.47,46.94,3
SKU-00170,Cookies 200g - Pack 2,Snacks,No,14,3,2.1,106,49.41,72.57,7
SKU-00171,Shampoo 180ml - Pack 3,Personal Care,No,15,4,1.8,65,93.17,132.74,4
SKU-00172,Soap 100g - Pack 4,Personal Care,No,25,5,3.0,147,29.27,40.76,11
SKU-00173,Toothpaste 100g - Pack 5,Personal Care,No,18,4,2.2,95,67.3,97.51,6
SKU-00174,Face Wash 100ml - Pack 6,Personal Care,No,10,5,1.8,48,104.82,154.86,4
SKU-00175,Hand Wash 250ml - Pack 7,Personal Care,No,12,5,1.9,67,73.2,106.18,9
SKU-00176,Milk 500ml - Pack 8,Dairy,Yes,25,3,1.8,102,27.05,45.42,13
SKU-00177,Curd 400g - Pack 9,Dairy,Yes,30,3,1.7,92,23.21,36.45,4
SKU-00178,Paneer 200g - Pack 10,Dairy,Yes,18,3,1.4,72,51.23,74.27,2
SKU-00179,Butter 100g - Pack 11,Dairy,Yes,7,4,1.4,26,57.78,72.15,7
SKU-00180,Cheese Slices 200g - Pack 12,Dairy,Yes,8,4,2.1,35,77.65,99.12,5
SKU-00181,Bread White 400g - Pack 1,Bakery,Yes,19,1,2.0,45,27.11,37.66,0
SKU-00182,Bread Brown 400g - Pack 2,Bakery,Yes,16,3,2.3,37,30.84,46.05,2
SKU-00183,Croissant 2pc - Pack 3,Bakery,Yes,9,1,1.4,13,52.27,74.15,6
SKU-00184,Muffin 2pc - Pack 4,Bakery,Yes,14,1,1.7,30,41.02,67.87,8
SKU-00185,Burger Buns 4pc - Pack 5,Bakery,Yes,11,2,2.0,27,33.89,51.99,1
SKU-00186,Cola 500ml - Pack 6,Beverages,No,41,2,4.0,345,26.77,38.38,5
SKU-00187,Orange Juice 1L - Pack 7,Beverages,No,23,3,3.0,128,73.35,95.86,5
SKU-00188,Mineral Water 1L - Pack 8,Beverages,No,49,2,4.3,326,12.45,22.06,4
SKU-00189,Energy Drink 250ml - Pack 9,Beverages,No,15,2,2.3,72,61.28,90.55,14
SKU-00190,Cold Coffee 250ml - Pack 10,Beverages,No,12,1,2.3,50,54.4,86.97,6
SKU-00191,Potato Chips 100g - Pack 11,Snacks,No,28,2,3.3,219,24.0,43.75,10
SKU-00192,Namkeen 200g - Pack 12,Snacks,No,18,3,2.9,103,43.26,68.35,3
SKU-00193,Biscuits 100g - Pack 1,Snacks,No,37,1,4.7,360,16.85,28.03,12
SKU-00194,Chocolate Bar 50g - Pack 2,Snacks,No,22,2,3.4,151,32.14,50.83,7
SKU-00195,Cookies 200g - Pack 3,Snacks,No,15,3,2.1,106,51.79,66.48,10
SKU-00196,Shampoo 180ml - Pack 4,Personal Care,No,7,4,2.4,31,84.6,121.85,8
SKU-00197,Soap 100g - Pack 5,Personal Care,No,26,3,2.5,184,27.46,42.43,13
SKU-00198,Toothpaste 100g - Pack 6,Personal Care,No,17,4,2.2,95,60.4,95.34,3
SKU-00199,Face Wash 100ml - Pack 7,Personal Care,No,8,5,1.7,41,101.12,150.95,16
SKU-00200,Hand Wash 250ml - Pack 8,Personal Care,No,12,4,2.1,62,77.86,110.83,6
SKU-00201,Milk 500ml - Pack 9,Dairy,Yes,33,2,1.7,118,27.8,40.11,8
SKU-00202,Curd 400g - Pack 10,Dairy,Yes,20,2,1.6,57,25.02,37.17,7
SKU-00203,Paneer 200g - Pack 11,Dairy,Yes,15,2,1.7,50,57.67,76.38,15
SKU-00204,Butter 100g - Pack 12,Dairy,Yes,10,3,1.4,36,48.71,64.37,9
SKU-00205,Cheese Slices 200g - Pack 1,Dairy,Yes,12,3,1.4,46,85.58,100.13,5
SKU-00206,Bread White 400g - Pack 2,Bakery,Yes,33,1,2.6,84,23.46,41.36,2
SKU-00207,Bread Brown 400g - Pack 3,Bakery,Yes,11,1,2.1,34,34.52,48.69,8
SKU-00208,Croissant 2pc - Pack 4,Bakery,Yes,9,1,2.2,16,55.41,77.07,29
SKU-00209,Muffin 2pc - Pack 5,Bakery,Yes,14,2,1.6,33,48.88,56.87,1
SKU-00210,Burger Buns 4pc - Pack 6,Bakery,Yes,7,1,2.5,19,37.43,50.3,3
SKU-00211,Cola 500ml - Pack 7,Beverages,No,43,2,4.2,335,29.43,40.26,11
SKU-00212,Orange Juice 1L - Pack 8,Beverages,No,19,3,3.3,100,76.55,103.84,8
SKU-00213,Mineral Water 1L - Pack 9,Beverages,No,36,2,6.4,262,11.13,20.59,10
SKU-00214,Energy Drink 250ml - Pack 10,Beverages,No,20,2,2.0,94,62.95,96.78,11
SKU-00215,Cold Coffee 250ml - Pack 11,Beverages,No,16,1,2.0,70,51.45,75.79,14
SKU-00216,Potato Chips 100g - Pack 12,Snacks,No,35,3,2.8,282,24.72,38.46,22
SKU-00217,Namkeen 200g - Pack 1,Snacks,No,13,4,2.5,74,42.04,64.14,12
SKU-00218,Biscuits 100g - Pack 2,Snacks,No,27,2,3.5,254,19.71,29.09,2
SKU-00219,Chocolate Bar 50g - Pack 3,Snacks,No,34,1,3.3,222,29.71,41.82,11
SKU-00220,Cookies 200g - Pack 4,Snacks,No,17,2,1.7,127,53.45,68.38,4
SKU-00221,Shampoo 180ml - Pack 5,Personal Care,No,10,4,2.1,41,88.05,113.73,3
SKU-00222,Soap 100g - Pack 6,Personal Care,No,24,3,2.9,164,25.41,37.03,7
SKU-00223,Toothpaste 100g - Pack 7,Personal Care,No,10,5,2.6,54,69.79,85.21,23
SKU-00224,Face Wash 100ml - Pack 8,Personal Care,No,6,6,1.9,33,111.94,141.13,3
SKU-00225,Hand Wash 250ml - Pack 9,Personal Care,No,12,3,1.6,59,81.48,101.36,6
SKU-00226,Milk 500ml - Pack 10,Dairy,Yes,45,3,1.8,111,26.86,45.17,3
SKU-00227,Curd 400g - Pack 11,Dairy,Yes,30,2,1.7,86,23.5,34.34,4
SKU-00228,Paneer 200g - Pack 12,Dairy,Yes,11,4,1.6,39,59.5,71.88,4
SKU-00229,Butter 100g - Pack 1,Dairy,Yes,12,4,1.3,51,51.98,63.29,9
SKU-00230,Cheese Slices 200g - Pack 2,Dairy,Yes,10,4,1.5,42,86.84,111.87,3
SKU-00231,Bread White 400g - Pack 3,Bakery,Yes,33,1,2.4,66,28.32,40.93,6
SKU-00232,Bread Brown 400g - Pack 4,Bakery,Yes,15,1,1.5,43,32.9,40.82,23
SKU-00233,Croissant 2pc - Pack 5,Bakery,Yes,12,1,1.4,28,55.01,74.33,5
SKU-00234,Muffin 2pc - Pack 6,Bakery,Yes,9,1,2.0,20,47.55,67.28,3
SKU-00235,Burger Buns 4pc - Pack 7,Bakery,Yes,13,2,1.8,31,37.53,47.86,6
SKU-00236,Cola 500ml - Pack 8,Beverages,No,53,1,4.6,428,26.14,41.56,8
SKU-00237,Orange Juice 1L - Pack 9,Beverages,No,21,2,2.8,110,79.0,90.83,4
SKU-00238,Mineral Water 1L - Pack 10,Beverages,No,40,1,6.7,266,11.38,21.13,3
SKU-00239,Energy Drink 250ml - Pack 11,Beverages,No,15,3,2.3,74,68.69,88.98,8
SKU-00240,Cold Coffee 250ml - Pack 12,Beverages,No,13,3,2.5,49,56.72,71.94,5
SKU-00241,Potato Chips 100g - Pack 1,Snacks,No,32,1,4.5,242,24.57,39.12,5
SKU-00242,Namkeen 200g - Pack 2,Snacks,No,9,3,2.2,53,41.21,60.4,11
SKU-00243,Biscuits 100g - Pack 3,Snacks,No,38,2,5.6,338,18.39,29.36,14
SKU-00244,Chocolate Bar 50g - Pack 4,Snacks,No,33,3,4.0,199,32.79,43.29,5
SKU-00245,Cookies 200g - Pack 5,Snacks,No,14,2,2.2,91,44.73,69.24,0
SKU-00246,Shampoo 180ml - Pack 6,Personal Care,No,12,4,2.2,54,100.9,126.35,10
SKU-00247,Soap 100g - Pack 7,Personal Care,No,21,3,2.9,144,26.75,35.68,23
SKU-00248,Toothpaste 100g - Pack 8,Personal Care,No,18,5,2.6,104,69.92,90.81,1
SKU-00249,Face Wash 100ml - Pack 9,Personal Care,No,9,5,2.0,44,114.2,144.7,4
SKU-00250,Hand Wash 250ml - Pack 10,Personal Care,No,15,4,2.3,85,71.98,108.31,8
SKU-00251,Milk 500ml - Pack 11,Dairy,Yes,44,1,1.7,141,28.63,47.53,7
SKU-00252,Curd 400g - Pack 12,Dairy,Yes,23,3,1.5,61,24.65,38.38,1
SKU-00253,Paneer 200g - Pack 1,Dairy,Yes,16,3,1.2,59,54.51,75.4,6
SKU-00254,Butter 100g - Pack 2,Dairy,Yes,8,3,1.9,29,51.82,71.82,6
SKU-00255,Cheese Slices 200g - Pack 3,Dairy,Yes,10,1,1.7,35,81.49,104.85,20
SKU-00256,Bread White 400g - Pack 4,Bakery,Yes,20,1,2.7,43,27.15,38.85,7
SKU-00257,Bread Brown 400g - Pack 5,Bakery,Yes,18,2,1.8,44,32.77,45.92,7
SKU-00258,Croissant 2pc - Pack 6,Bakery,Yes,11,1,1.6,24,56.53,77.05,26
SKU-00259,Muffin 2pc - Pack 7,Bakery,Yes,7,2,1.6,15,48.77,63.58,4
SKU-00260,Burger Buns 4pc - Pack 8,Bakery,Yes,11,2,2.0,32,33.64,53.3,12
SKU-00261,Cola 500ml - Pack 9,Beverages,No,34,1,5.6,264,29.33,36.06,9
SKU-00262,Orange Juice 1L - Pack 10,Beverages,No,19,2,2.7,109,75.48,102.92,17
SKU-00263,Mineral Water 1L - Pack 11,Beverages,No,32,1,5.0,222,12.66,19.87,13
SKU-00264,Energy Drink 250ml - Pack 12,Beverages,No,13,2,2.8,63,54.84,90.9,6
SKU-00265,Cold Coffee 250ml - Pack 1,Beverages,No,14,2,2.4,50,56.05,73.11,4
SKU-00266,Potato Chips 100g - Pack 2,Snacks,No,28,2,3.5,199,26.02,37.7,7
SKU-00267,Namkeen 200g - Pack 3,Snacks,No,19,3,2.4,111,46.25,67.55,3
SKU-00268,Biscuits 100g - Pack 4,Snacks,No,36,3,5.4,336,18.09,26.87,2
SKU-00269,Chocolate Bar 50g - Pack 5,Snacks,No,30,2,2.9,206,28.2,44.14,5
SKU-00270,Cookies 200g - Pack 6,Snacks,No,16,3,2.4,117,47.08,76.28,5
SKU-00271,Shampoo 180ml - Pack 7,Personal Care,No,13,5,1.8,56,84.06,127.75,8
SKU-00272,Soap 100g - Pack 8,Personal Care,No,24,3,2.4,153,29.17,41.7,11
SKU-00273,Toothpaste 100g - Pack 9,Personal Care,No,16,4,2.6,92,61.09,90.87,19
SKU-00274,Face Wash 100ml - Pack 10,Personal Care,No,8,4,1.9,37,113.83,157.58,1
